FID,CellID,RWQ,ALT,FFP,BIO1,Y_WGS84_DD,X_WGS84_DD,SYN_C_PREZ,SYN_C_TRUEABS,SYN_C_TRUE_PROB
27,1027,0.756,333.35,0.5128,11.2136,46.87753,26.345587,1,0,0.9
28,1028,2.354,55.77,0.0837,11.7166,46.073195,21.244101,1,0,0.9
29,1029,1.612,579.16,0.5507,9.2559,45.206034,24.454937,0,1,0.1
30,1030,0.654,394.18,0.6837,9.2648,47.568474,26.509427,0,1,0.1
31,1031,0.822,117.87,0.0681,11.2717,45.575683,21.288696,1,0,0.9
32,1032,0.939,177.51,1.2441,11.2447,45.099178,21.661458,1,0,0.9
33,1033,1.055,745.62,0.522,7.725,46.718112,20.019291,0,1,0.1
34,1034,0.317,123.0,0.1258,10.8788,45.249868,24.197073,1,0,0.9
35,1035,0.278,308.6,2.0136,9.7436,45.287286,21.557454,0,1,0.1
36,1036,0.44,1295.01,1.0471,5.0,47.401131,25.793941,0,1,0.1
37,1037,0.417,588.68,0.7387,9.0637,46.474829,27.697711,0,1,0.1
38,1038,0.522,682.64,0.0321,8.6602,45.724525,21.670044,1,0,0.9
39,1039,1.277,355.16,2.4275,10.771,46.045879,25.192776,1,0,0.9
40,1040,0.727,108.92,0.3852,11.4138,47.187723,21.694676,1,0,0.9
41,1041,0.939,489.28,0.3231,8.9087,45.199062,20.144055,0,1,0.1
42,1042,0.347,187.58,0.0428,11.55,45.349442,26.068434,1,0,0.9
43,1043,0.593,173.39,0.246,11.3162,46.848786,23.472037,1,0,0.9
44,1044,1.235,453.05,1.456,8.7905,46.820915,27.574295,0,1,0.1
45,1045,1.242,198.11,1.4343,10.2945,47.917387,24.274287,1,0,0.9
46,1046,0.493,419.22,0.0717,9.7307,46.123648,21.259863,1,0,0.9
47,1047,0.917,261.21,0.3967,10.3441,45.195233,23.598196,1,0,0.9
48,1048,3.816,409.55,0.9768,9.5295,46.612612,21.623134,0,1,0.1
49,1049,0.809,294.54,0.5237,10.769,46.91504,27.024234,1,0,0.9
50,1050,0.504,417.21,0.2001,9.8763,45.418808,25.527225,1,0,0.9
51,1051,0.725,1004.5,0.7594,6.6379,46.658586,22.72991,0,1,0.1
52,1052,0.873,692.31,0.5188,6.8804,45.593301,24.222563,0,1,0.1
53,1053,0.737,386.59,0.563,9.8071,47.53419,25.355842,0,1,0.1
54,1054,0.801,908.55,0.1374,6.896,47.505484,26.262862,1,0,0.9
55,1055,0.298,550.62,0.4106,7.933,46.288887,20.641178,0,1,0.1
56,1056,0.417,870.67,1.0911,6.4485,47.90023,20.180151,0,1,0.1
57,1057,0.737,135.08,0.5222,10.7693,47.939322,20.915622,1,0,0.9
58,1058,0.729,199.89,0.74,10.8115,45.387753,23.15997,1,0,0.9
59,1059,0.551,485.54,0.3495,9.9007,46.103141,23.733653,0,1,0.1
60,1060,0.723,380.11,1.2482,10.7306,46.800964,21.091693,1,0,0.9
61,1061,0.854,417.87,0.0915,9.0856,45.254513,23.289225,1,0,0.9
62,1062,1.526,608.4,0.9379,8.6129,46.147967,23.532982,0,1,0.1
63,1063,0.764,488.72,0.1533,9.3471,45.783516,20.87272,1,0,0.9
64,1064,1.083,733.93,0.2258,7.7902,47.856151,27.33328,1,0,0.9
65,1065,0.56,721.54,1.7239,7.8703,46.234757,24.793167,0,1,0.1
66,1066,1.222,207.26,0.4095,10.9083,47.288013,23.108284,1,0,0.9
67,1067,1.065,57.91,0.4562,12.4963,46.160116,24.055257,1,0,0.9
68,1068,1.501,197.03,0.8156,11.3691,45.395436,22.51358,1,0,0.9
69,1069,1.349,187.19,0.929,10.3468,47.589455,26.834648,1,0,0.9
70,1070,1.236,439.05,0.7994,9.7636,45.001251,24.60012,0,1,0.1
71,1071,0.764,435.32,0.6337,9.8343,45.167823,23.959167,0,1,0.1
72,1072,0.972,364.64,0.0061,9.9696,46.093153,27.287083,1,0,0.9
73,1073,1.724,564.23,0.1322,9.1803,47.060695,26.703838,1,0,0.9
74,1074,0.519,1500.0,0.252,5.0,46.025113,26.502415,1,0,0.9
75,1075,0.527,359.18,1.4448,9.9451,45.198938,21.804874,0,1,0.1
76,1076,0.93,498.83,2.0305,9.0677,45.95352,21.224985,0,1,0.1
77,1077,1.095,417.81,0.5195,8.484,45.734943,25.520772,0,1,0.1
78,1078,0.46,275.9,0.3681,10.3044,45.016259,23.749138,1,0,0.9
79,1079,0.777,611.98,2.5699,7.994,46.604406,25.469702,0,1,0.1
80,1080,0.767,347.07,0.5636,9.3243,45.349938,26.085018,0,1,0.1
81,1081,0.174,234.57,0.9867,11.3096,45.862489,22.362508,1,0,0.9
82,1082,0.702,247.87,0.6578,10.7649,46.923569,22.277203,1,0,0.9
83,1083,0.733,750.35,0.3632,7.483,47.175347,23.926653,0,1,0.1
84,1084,0.732,602.43,0.4512,8.103,45.790367,22.188395,0,1,0.1
85,1085,2.206,298.34,0.827,10.358,45.987581,25.338362,1,0,0.9
86,1086,0.35,558.34,1.8799,9.1457,45.740728,25.973844,0,1,0.1
87,1087,0.46,421.11,0.4559,9.0599,47.870666,23.776312,0,1,0.1
88,1088,0.132,504.43,0.4169,8.971,45.571559,25.790398,0,1,0.1
89,1089,0.585,270.69,0.0441,10.8099,45.549542,24.083501,1,0,0.9
90,1090,0.621,191.82,0.103,9.8811,46.335106,25.702974,1,0,0.9
91,1091,0.573,345.73,0.0073,9.8968,45.567919,21.799746,1,0,0.9
92,1092,1.778,218.06,0.108,10.477,45.470125,25.910744,1,0,0.9
93,1093,1.495,205.94,1.191,10.6974,45.287639,25.720992,1,0,0.9
94,1094,0.865,141.78,1.0457,10.8985,46.920514,22.132846,1,0,0.9
95,1095,0.632,58.36,1.1923,11.7186,46.836247,24.447768,1,0,0.9
96,1096,1.679,302.13,0.0235,11.1491,46.950489,26.842493,1,0,0.9
97,1097,0.807,837.94,0.8719,6.8104,47.3199,21.996181,0,1,0.1
98,1098,0.462,712.84,0.2509,7.8688,45.979074,25.887838,1,0,0.9
99,1099,0.246,1096.5,0.5071,6.4184,47.755271,27.631734,0,1,0.1
100,1100,0.601,199.16,1.724,10.53,47.199614,26.929935,1,0,0.9
101,1101,1.389,637.16,0.6501,9.0844,47.414126,23.212161,0,1,0.1
102,1102,4.029,385.37,0.0997,9.6905,47.162886,24.857662,1,0,0.9
103,1103,0.855,248.18,0.3921,11.4019,46.075367,27.934161,1,0,0.9
104,1104,0.479,779.5,2.4843,7.6981,45.849097,24.547499,0,1,0.1
105,1105,0.357,388.02,1.8266,9.8254,46.267551,20.920221,0,1,0.1
106,1106,1.205,96.55,1.2407,11.3879,45.291091,20.363446,1,0,0.9
107,1107,0.238,708.09,0.1076,7.4395,46.353842,26.322516,1,0,0.9
108,1108,1.204,533.97,0.1325,8.834,45.129423,23.389027,1,0,0.9
109,1109,1.451,455.77,0.0807,9.7141,45.011838,21.974503,1,0,0.9
110,1110,1.111,169.35,0.1127,10.9773,47.794497,22.781376,1,0,0.9
111,1111,0.702,491.3,0.0096,8.8939,47.068011,26.058983,1,0,0.9
112,1112,1.216,1006.12,1.472,5.8379,46.685541,23.721979,0,1,0.1
113,1113,0.923,524.48,0.9534,9.3494,46.023306,26.947996,0,1,0.1
114,1114,0.475,124.9,1.2414,11.8632,46.711614,25.879405,1,0,0.9
115,1115,2.99,550.37,0.5339,8.3642,47.674727,27.792113,0,1,0.1
116,1116,0.64,528.03,0.0028,8.4975,46.95714,27.10803,1,0,0.9
117,1117,1.409,670.08,0.4948,8.1692,46.807446,22.036378,0,1,0.1
118,1118,0.151,518.55,0.051,9.6525,46.380614,25.272474,1,0,0.9
119,1119,2.001,206.48,1.5403,11.3341,46.037091,20.164344,1,0,0.9
120,1120,2.289,439.6,0.0253,8.7364,47.095641,27.928854,1,0,0.9
121,1121,0.836,349.91,0.3016,9.7685,47.942943,22.088049,0,1,0.1
122,1122,1.211,474.82,1.4473,8.6858,46.274273,25.318361,0,1,0.1
123,1123,1.21,797.19,1.2217,7.0831,46.176616,26.793229,0,1,0.1
124,1124,0.522,260.61,1.3744,11.2385,46.28434,21.283717,1,0,0.9
125,1125,1.201,1197.56,0.7992,5.0,46.276632,26.783035,0,1,0.1
126,1126,0.465,548.09,0.1762,7.902,47.971874,20.097965,1,0,0.9
127,1127,0.535,710.6,1.218,7.3221,47.120335,23.535817,0,1,0.1
128,1128,1.802,651.97,1.5771,8.2318,46.077553,23.776301,0,1,0.1
129,1129,1.62,534.02,1.5987,9.1063,46.114507,22.992726,0,1,0.1
130,1130,0.499,598.27,1.2934,8.6291,46.292391,24.691078,0,1,0.1
131,1131,0.49,12.19,0.8561,12.5147,45.110137,27.318739,1,0,0.9
132,1132,0.521,651.2,1.8223,7.2112,46.583449,22.615913,0,1,0.1
133,1133,1.367,219.03,1.2684,11.28,47.434143,24.634079,1,0,0.9
134,1134,0.407,403.83,0.0561,9.421,46.981703,27.0197,1,0,0.9
135,1135,1.051,531.61,0.2784,9.1761,45.595263,26.183963,1,0,0.9
136,1136,1.381,819.29,0.3387,6.4226,47.184103,20.325866,0,1,0.1
137,1137,0.77,219.08,1.5922,10.688,47.158376,27.542326,1,0,0.9
138,1138,1.66,307.5,0.6578,10.2731,45.787618,20.373175,1,0,0.9
139,1139,0.662,337.47,0.0431,10.553,46.868624,24.710068,1,0,0.9
140,1140,0.705,478.61,0.0886,8.3357,46.832847,24.602829,1,0,0.9
141,1141,0.413,352.1,0.2985,9.9027,47.519363,26.291122,1,0,0.9
142,1142,1.669,599.97,0.1976,7.8575,45.408217,21.187544,1,0,0.9
143,1143,0.479,100.07,0.1412,11.6523,45.584516,21.434963,1,0,0.9
144,1144,1.046,382.5,0.2524,10.0936,46.457909,26.016855,1,0,0.9
145,1145,0.779,1066.34,0.8638,6.2455,45.132435,21.196038,0,1,0.1
146,1146,0.392,352.75,0.9807,9.616,46.246783,23.755561,0,1,0.1
147,1147,0.535,549.42,2.0751,9.1671,47.364657,25.853185,0,1,0.1
148,1148,2.155,742.68,0.6405,8.2244,45.446143,25.209935,0,1,0.1
149,1149,0.943,538.03,0.3179,7.9502,46.379846,21.684833,0,1,0.1
150,1150,0.404,1262.12,0.426,5.0,47.969308,22.431682,0,1,0.1
151,1151,1.014,446.46,0.0346,9.8005,46.51776,27.751799,1,0,0.9
152,1152,0.739,619.01,0.3113,8.1566,46.494971,23.589365,0,1,0.1
153,1153,5.0,491.59,0.174,8.445,46.676381,20.35566,1,0,0.9
154,1154,1.0,938.31,0.1043,6.8416,45.558013,21.756679,1,0,0.9
155,1155,0.627,318.17,0.378,9.4913,45.441492,22.739481,0,1,0.1
156,1156,2.212,1323.45,0.1122,5.0,47.032064,27.995915,1,0,0.9
157,1157,0.226,265.35,0.0557,10.3878,46.1873,22.421532,1,0,0.9
158,1158,0.875,1128.14,0.7548,5.589,45.86972,20.211167,0,1,0.1
159,1159,3.307,200.09,1.1517,10.4861,45.094175,24.103373,1,0,0.9
160,1160,0.755,631.6,0.4628,7.8681,47.538151,20.668843,0,1,0.1
161,1161,0.243,421.11,0.0036,9.5228,45.096987,22.192541,1,0,0.9
162,1162,0.621,733.2,0.3641,8.104,47.249949,27.939065,0,1,0.1
163,1163,2.266,558.08,0.0401,9.7952,46.145966,25.637108,1,0,0.9
164,1164,1.065,708.8,0.8651,6.9935,46.796063,20.405333,0,1,0.1
165,1165,0.455,194.76,1.5808,10.9891,45.743034,23.589494,1,0,0.9
166,1166,0.507,116.59,0.6661,10.7572,45.466199,21.3731,1,0,0.9
167,1167,0.553,170.86,0.2043,11.4843,46.600164,20.983557,1,0,0.9
168,1168,1.054,167.46,2.0568,10.526,47.086853,24.696523,1,0,0.9
169,1169,2.089,192.94,0.8504,10.505,45.58648,24.045247,1,0,0.9
170,1170,1.71,278.41,0.0612,10.0349,46.309077,25.942933,1,0,0.9
171,1171,1.127,276.64,0.1692,10.302,46.333965,27.13845,1,0,0.9
172,1172,0.322,427.77,1.0138,9.595,45.647937,21.973455,0,1,0.1
173,1173,0.323,230.99,0.1747,10.8559,46.695148,27.383936,0,1,0.9
174,1174,1.189,244.87,0.548,10.5279,45.437807,24.143934,1,0,0.9
175,1175,0.319,367.44,0.3688,9.1304,46.529248,22.070679,0,1,0.1
176,1176,0.699,795.84,0.2691,7.5889,45.340295,26.766287,1,0,0.9
177,1177,1.013,314.36,0.0983,10.0874,46.456627,20.284239,1,0,0.9
178,1178,0.369,409.12,0.9308,10.1261,45.934797,24.476075,1,0,0.9
179,1179,0.4,454.42,0.7597,8.9196,46.356739,25.772972,0,1,0.1
180,1180,0.767,210.43,1.6197,9.9363,46.301248,22.239821,0,1,0.1
181,1181,1.165,336.1,0.216,9.9664,47.723799,26.907935,1,0,0.9
182,1182,1.721,259.31,0.0365,11.0921,46.469807,21.922277,1,0,0.9
183,1183,1.252,749.86,1.8262,7.5813,47.455497,26.718994,0,1,0.1
184,1184,0.862,712.14,0.7313,7.6273,45.676957,20.62836,0,1,0.1
185,1185,0.486,240.48,0.0032,10.1219,46.056248,21.279421,1,0,0.9
186,1186,0.387,403.9,3.5267,10.4555,45.225268,23.047877,1,0,0.9
187,1187,0.573,619.32,1.6703,7.7693,46.262243,26.832444,0,1,0.1
188,1188,1.091,519.59,0.3387,8.5197,47.0061,21.156683,0,1,0.1
189,1189,1.036,555.82,0.7228,8.9501,47.514501,27.003506,0,1,0.1
190,1190,0.188,211.41,0.2517,9.8035,46.697745,21.837852,1,0,0.9
191,1191,0.472,1103.37,0.2152,6.0171,46.920218,23.620067,1,0,0.9
192,1192,1.902,274.54,0.4276,10.6649,45.531801,22.821875,1,0,0.9
193,1193,0.865,268.95,0.2717,10.8359,45.111618,20.94501,1,0,0.9
194,1194,0.304,154.72,0.3006,11.3508,47.375064,27.554478,1,0,0.9
195,1195,4.259,378.42,0.0599,9.6489,45.501115,23.505426,1,0,0.9
196,1196,0.802,847.82,3.8848,6.3815,45.273509,25.52265,0,1,0.1
197,1197,1.071,516.23,0.7863,8.8326,47.812687,24.602141,0,1,0.1
198,1198,1.083,398.67,0.0904,9.1204,47.890564,24.013727,1,0,0.9
199,1199,0.633,680.22,0.1127,8.1618,46.848772,24.932621,1,0,0.9
200,1200,0.492,834.98,1.0525,7.3935,46.135912,27.186738,0,1,0.1
201,1201,3.615,711.16,5.0,8.4715,47.499719,25.594499,0,1,0.1
202,1202,1.652,88.78,0.5351,11.6532,45.61416,24.259841,1,0,0.9
203,1203,1.456,683.86,0.1776,8.3592,46.288177,25.161488,1,0,0.9
204,1204,1.226,569.88,3.6197,8.4321,46.071052,24.851154,0,1,0.1
205,1205,0.406,236.58,0.8082,10.3414,47.7381,23.46497,1,0,0.9
206,1206,2.002,571.39,0.2341,8.8085,47.759332,24.998112,1,0,0.9
207,1207,0.454,848.87,0.6072,6.7136,46.952658,23.548558,0,1,0.1
208,1208,0.998,283.25,0.5679,10.4351,45.33222,26.060915,1,0,0.9
209,1209,0.26,742.63,0.9908,7.0136,46.446578,27.7513,0,1,0.1
210,1210,0.196,523.56,0.7571,8.4178,45.735985,27.678923,0,1,0.1
211,1211,1.023,23.45,2.1851,12.177,47.654747,26.565886,1,0,0.9
212,1212,0.465,418.54,1.3086,9.9321,45.415208,24.814071,0,1,0.1
213,1213,0.203,510.22,0.3549,8.4458,45.162931,25.994656,0,1,0.1
214,1214,1.195,345.4,2.0392,10.2629,47.113287,21.424386,1,0,0.9
215,1215,3.611,536.17,0.2583,8.5166,46.359858,23.832148,1,0,0.9
216,1216,2.166,388.99,0.4162,9.6743,47.515095,22.058438,0,1,0.1
217,1217,0.684,1485.07,0.0398,5.0,45.223889,20.02796,1,0,0.9
218,1218,0.824,328.77,1.0647,10.4311,47.403228,27.733901,1,0,0.9
219,1219,1.524,241.65,0.6978,10.948,45.112004,26.910788,1,0,0.9
220,1220,1.796,719.55,1.0824,8.6371,45.08421,24.109589,0,1,0.1
221,1221,0.644,358.43,2.6689,9.4975,46.383947,22.033218,0,1,0.1
222,1222,0.839,403.21,0.3987,9.0878,45.663874,25.543802,0,1,0.1
223,1223,1.01,380.31,1.1349,9.3571,46.781156,23.478409,0,1,0.1
224,1224,1.206,695.05,0.8636,7.7025,45.077451,26.426796,0,1,0.1
225,1225,0.746,191.78,1.7918,9.672,45.106169,27.996145,0,1,0.1
226,1226,0.753,741.71,2.3333,7.446,47.181445,22.792661,0,1,0.1
227,1227,2.151,599.75,1.723,8.1292,45.630495,21.955224,0,1,0.1
228,1228,1.909,1199.83,0.5277,5.1929,46.969251,22.13906,0,1,0.1
229,1229,1.144,484.76,0.1768,9.2676,47.249766,20.74677,1,0,0.9
230,1230,2.727,202.88,0.0943,10.4824,45.177993,23.15237,1,0,0.9
231,1231,0.625,488.25,0.2585,9.3655,47.309262,20.1394,1,0,0.9
232,1232,2.55,528.16,0.4134,9.1926,45.805264,20.915164,0,1,0.1
233,1233,1.197,894.0,2.1949,6.2517,46.168638,22.173566,0,1,0.1
234,1234,5.0,202.48,0.3657,10.5386,45.259918,21.278902,1,0,0.9
235,1235,0.355,125.0,0.0212,10.1373,47.51589,25.857273,1,0,0.9
236,1236,0.505,494.92,0.3423,8.4851,46.682186,20.844838,0,1,0.1
237,1237,1.098,1231.25,0.3803,5.0,46.513996,26.927953,0,1,0.1
238,1238,1.081,655.77,0.2262,8.1025,47.905664,21.768916,1,0,0.9
239,1239,3.206,679.75,0.6351,7.4488,46.003517,20.868725,0,1,0.1
240,1240,0.513,151.36,0.4239,10.8351,47.672338,20.080853,1,0,0.9
241,1241,1.543,442.69,0.059,8.7312,47.159064,25.72164,1,0,0.9
242,1242,1.847,904.36,0.5232,6.6594,47.785584,22.052934,0,1,0.1
243,1243,1.341,532.22,1.1779,9.0195,47.723406,24.075989,0,1,0.1
244,1244,0.418,117.62,0.8658,11.4955,47.973089,20.892928,1,0,0.9
245,1245,2.193,436.85,0.0606,9.3851,45.39503,27.882367,1,0,0.9
246,1246,1.936,627.21,2.0565,7.4662,47.388049,21.003078,0,1,0.1
247,1247,1.246,405.62,0.658,9.2563,47.413483,23.295407,0,1,0.1
248,1248,0.945,222.33,0.5307,10.4624,46.933121,26.813196,1,0,0.9
249,1249,0.959,733.22,0.2056,7.399,45.836583,21.959096,1,0,0.9
250,1250,0.775,319.61,1.4326,10.1198,47.895445,22.135774,1,0,0.9
251,1251,1.282,565.13,0.9809,9.322,45.613266,26.467996,0,1,0.1
252,1252,0.837,429.13,0.0274,9.8313,46.498726,22.186717,1,0,0.9
253,1253,0.452,311.07,0.0852,9.6398,46.564461,20.02297,1,0,0.9
254,1254,0.393,1314.79,0.0417,5.0,45.485488,23.42331,1,0,0.9
255,1255,0.484,286.61,0.6296,10.6005,47.167586,20.100282,1,0,0.9
256,1256,0.956,453.41,4.7745,8.8765,45.266601,27.278338,0,1,0.1
257,1257,0.803,428.22,2.06,9.8551,47.079293,25.134506,0,1,0.1
258,1258,0.952,486.86,0.7054,8.9986,47.545846,24.664114,0,1,0.1
259,1259,1.162,1256.38,3.0259,5.0,46.048189,21.612716,0,1,0.1
260,1260,0.528,627.72,0.4617,8.4613,47.128262,25.599569,0,1,0.1
261,1261,2.284,308.94,0.269,10.2549,45.470322,25.418037,1,0,0.9
262,1262,0.679,1025.99,0.549,5.7302,47.537847,20.483709,0,1,0.1
263,1263,0.604,697.01,0.2225,7.7992,47.856095,27.046772,1,0,0.9
264,1264,1.148,313.28,0.2835,9.7608,45.458081,24.635307,1,0,0.9
265,1265,0.226,931.82,0.5995,6.7141,47.075578,26.339735,0,1,0.1
266,1266,0.471,149.95,0.7994,11.0786,46.517493,22.103313,1,0,0.9
267,1267,1.627,185.55,1.4219,10.9699,46.594498,20.976382,1,0,0.9
268,1268,0.243,110.64,0.4548,11.5148,47.119469,25.619597,1,0,0.9
269,1269,1.79,69.67,1.0526,11.0047,46.466221,26.351061,1,0,0.9
270,1270,2.358,891.5,0.0304,6.2039,46.800979,23.088268,1,0,0.9
271,1271,0.632,490.9,0.2019,7.9496,45.692703,20.189538,1,0,0.9
272,1272,1.004,120.19,0.1512,11.5613,46.13552,26.546032,1,0,0.9
273,1273,1.792,420.74,0.7342,8.8695,47.595721,21.648751,0,1,0.1
274,1274,0.591,756.97,0.1059,7.5245,45.329708,22.712256,1,0,0.9
275,1275,1.503,250.45,3.5558,10.6828,46.792726,25.025848,1,0,0.9
276,1276,0.512,345.45,0.6458,10.2285,45.552861,20.799638,1,0,0.9
277,1277,0.586,1352.25,1.5433,5.0,47.539619,20.575966,0,1,0.1
278,1278,0.468,367.85,0.0654,9.7603,46.737132,20.20563,1,0,0.9
279,1279,1.041,129.19,0.7799,12.06,46.209146,27.333119,1,0,0.9
280,1280,1.841,295.5,1.1831,11.0841,45.749474,22.491062,1,0,0.9
281,1281,0.72,112.84,0.723,11.8166,46.310534,25.285271,1,0,0.9
282,1282,0.336,660.57,0.6063,8.2053,47.872837,27.913882,0,1,0.1
283,1283,0.384,224.29,1.0353,10.1517,46.527628,25.355606,1,0,0.9
284,1284,1.079,218.82,2.4649,11.0464,46.408469,24.200758,1,0,0.9
285,1285,2.977,1426.71,0.7491,5.0,47.238821,24.167359,0,1,0.1
286,1286,1.079,169.32,1.5199,11.2643,46.137141,23.015337,1,0,0.9
287,1287,0.624,144.77,0.3578,10.815,46.282272,24.798237,1,0,0.9
288,1288,1.4,193.42,0.4509,10.753,46.010843,27.670331,1,0,0.9
289,1289,0.692,771.84,0.7558,7.4511,45.452759,26.304352,0,1,0.1
290,1290,0.628,606.25,0.1447,8.4856,47.141428,23.393813,1,0,0.9
291,1291,0.419,292.71,0.1423,10.4906,47.619093,22.659559,1,0,0.9
292,1292,2.194,273.43,5.0,10.0698,47.716778,27.068252,1,0,0.9
293,1293,0.138,576.68,1.8433,7.8682,47.642409,21.086287,0,1,0.1
294,1294,1.431,503.35,2.2824,9.7923,46.355351,26.796682,0,1,0.1
295,1295,0.592,384.68,1.5897,10.9365,45.852199,22.040614,1,0,0.9
296,1296,0.614,619.75,1.3055,8.5052,46.913771,25.725034,0,1,0.1
297,1297,2.677,183.12,1.9518,10.2393,47.864115,26.449765,1,0,0.9
298,1298,0.497,227.25,0.8301,10.2499,47.181152,23.815972,1,0,0.9
299,1299,0.509,640.63,0.3229,8.4108,46.484546,21.538272,0,1,0.1
300,1300,0.747,530.54,1.6722,9.4873,47.066426,26.758142,0,1,0.1
301,1301,1.094,440.96,0.8724,8.7478,47.317614,22.940067,0,1,0.1
302,1302,0.601,1396.16,0.2087,5.0,47.757808,22.565442,1,0,0.9
303,1303,0.272,707.97,2.7568,7.8501,47.289647,24.080129,0,1,0.1
304,1304,0.447,299.18,1.1213,10.6372,46.299572,23.48069,1,0,0.9
305,1305,2.008,242.8,0.2637,10.3714,45.82082,25.464418,1,0,0.9
306,1306,0.863,547.13,0.5922,7.9353,46.499645,21.097582,0,1,0.1
307,1307,1.123,889.78,0.8227,6.9719,45.984534,23.485517,0,1,0.1
308,1308,0.682,97.61,0.4991,11.9768,47.828294,27.133614,1,0,0.9
309,1309,0.516,521.5,1.4295,8.8297,46.523898,20.288502,0,1,0.1
310,1310,2.649,341.38,0.7365,10.1543,46.416169,23.658707,1,0,0.9
311,1311,0.718,490.79,0.3938,8.818,46.044589,25.284256,0,1,0.1
312,1312,0.6,135.97,0.8843,10.7613,46.918221,27.101689,1,0,0.9
313,1313,1.763,889.39,1.76,7.1769,46.560154,24.75029,0,1,0.1
314,1314,0.494,1039.64,0.0676,5.9559,45.387147,26.595874,1,0,0.9
315,1315,0.54,667.35,0.176,8.2411,47.607623,21.781528,1,0,0.9
316,1316,0.825,1169.03,1.004,5.7369,46.077038,22.822475,0,1,0.1
317,1317,0.819,329.38,1.3288,9.4963,46.297735,27.537058,0,1,0.1
318,1318,0.982,513.41,0.3836,8.6435,45.617001,27.087801,0,1,0.1
319,1319,3.54,673.67,0.2099,8.0369,46.660195,24.463624,1,0,0.9
