FID,CellID,RWQ,ALT,FFP,BIO1,Y_WGS84_DD,X_WGS84_DD,SYN_A_PREZ,SYN_A_TRUEABS,SYN_A_TRUE_PROB
69,1069,0.716,405.09,0.1163,9.0403,46.831006,23.134702,1,0,0.9
70,1070,0.335,461.02,0.5996,8.5726,46.870639,21.601467,1,0,0.9
71,1071,0.37,280.84,0.0684,10.0718,45.405239,25.440279,1,0,0.9
72,1072,0.43,220.93,0.2586,10.8845,47.080621,21.450572,1,0,0.9
73,1073,1.16,715.56,0.6248,7.6554,47.024251,25.398502,0,1,0.1
74,1074,0.905,140.5,0.2427,10.8317,47.047764,22.107803,1,0,0.9
75,1075,1.328,193.52,2.1157,10.5018,45.222212,22.841743,0,1,0.1
76,1076,0.607,395.88,0.6261,9.2686,46.340517,22.790885,1,0,0.9
77,1077,0.915,768.09,0.5175,6.9517,46.227105,25.734014,1,0,0.9
78,1078,1.269,294.39,0.5957,11.3744,45.260134,23.732074,0,1,0.1
79,1079,0.659,267.85,1.0147,10.5417,45.667104,22.890391,1,0,0.9
80,1080,1.127,379.97,0.2889,10.1635,46.322888,26.820982,0,1,0.1
81,1081,0.515,548.85,1.1285,8.4624,47.228719,24.575605,1,0,0.9
82,1082,0.635,340.05,2.0398,9.8667,45.711186,21.710647,1,0,0.9
83,1083,0.627,829.56,1.6329,6.6658,47.48925,27.20073,1,0,0.9
84,1084,0.354,851.25,0.5784,5.5666,46.637395,22.741202,1,0,0.9
85,1085,1.151,395.86,0.1948,8.9358,47.281265,20.311835,0,1,0.1
86,1086,0.589,1298.83,0.2623,5.0,46.417668,23.956802,1,0,0.9
87,1087,0.826,454.08,1.2866,8.1506,46.497583,20.991504,1,0,0.9
88,1088,1.146,833.66,0.7396,6.4003,46.859158,21.907732,0,1,0.1
89,1089,1.119,538.97,0.3159,9.4287,47.783912,25.976887,0,1,0.1
90,1090,1.304,532.47,0.0255,8.783,46.475438,21.046015,0,1,0.1
91,1091,0.764,113.61,1.5756,11.9636,46.585973,26.455554,1,0,0.9
92,1092,0.609,180.6,0.1327,11.1219,46.805991,27.495258,1,0,0.9
93,1093,0.774,352.62,0.4782,10.2755,47.212545,24.852257,1,0,0.9
94,1094,0.251,847.29,0.2513,6.4658,45.215551,25.682874,1,0,0.9
95,1095,0.297,543.97,0.3358,8.9982,46.547062,25.708693,1,0,0.9
96,1096,0.324,354.89,0.0647,10.235,46.444775,27.942464,1,0,0.9
97,1097,0.407,642.37,0.2665,7.8575,47.765055,22.732306,1,0,0.9
98,1098,1.083,828.03,2.0043,7.3116,46.48052,21.302852,0,1,0.1
99,1099,0.434,435.2,0.4835,9.6719,46.404962,24.153338,1,0,0.9
100,1100,0.628,502.38,0.4673,8.7109,47.8866,24.265998,1,0,0.9
101,1101,2.033,460.84,0.7095,8.6736,46.351729,21.4233,0,1,0.1
102,1102,0.638,416.83,0.3488,8.907,45.542653,24.904875,1,0,0.9
103,1103,1.372,241.98,0.3166,10.5914,45.650748,20.112998,0,1,0.1
104,1104,0.426,227.88,0.0157,10.7962,45.285563,27.421347,1,0,0.9
105,1105,0.709,639.81,1.2529,7.7649,45.001704,22.116594,1,0,0.9
106,1106,0.421,837.79,0.9693,6.9866,46.295837,20.316482,1,0,0.9
107,1107,0.646,354.41,0.4059,10.1588,47.307728,20.865996,1,0,0.9
108,1108,1.474,348.67,0.7862,10.2171,47.200399,21.921992,0,1,0.1
109,1109,0.244,86.87,0.4066,12.2547,45.096447,22.191249,1,0,0.9
110,1110,1.11,71.77,0.0982,12.2079,46.709949,20.26248,0,1,0.1
111,1111,0.967,971.62,0.1252,5.6696,45.462849,22.234838,1,0,0.9
112,1112,0.54,254.16,2.6715,11.3168,47.823229,21.543534,1,0,0.9
113,1113,0.298,1500.0,1.0144,5.0,45.502095,23.028967,1,0,0.9
114,1114,0.861,288.59,0.3576,10.7909,46.879918,23.081342,1,0,0.9
115,1115,0.565,117.1,1.1338,11.3314,45.978715,22.712062,1,0,0.9
116,1116,0.964,463.28,0.58,9.0142,46.924684,22.623391,1,0,0.9
117,1117,0.831,710.32,1.2344,6.8342,46.236776,20.71785,1,0,0.9
118,1118,2.512,661.36,0.8781,7.946,47.278929,20.20164,0,1,0.1
119,1119,0.692,755.02,1.128,6.6902,45.692037,21.616914,1,0,0.9
120,1120,0.4,205.88,0.0046,11.2484,47.717376,26.053195,1,0,0.9
121,1121,0.928,957.53,3.4446,7.0132,46.500629,27.926478,1,0,0.9
122,1122,0.955,991.91,0.038,5.6501,47.268279,27.428209,1,0,0.9
123,1123,2.12,1018.33,0.3992,6.041,47.549191,24.033755,0,1,0.1
124,1124,1.469,513.89,0.1058,8.554,47.996486,24.254591,0,1,0.1
125,1125,1.051,335.32,0.173,9.6739,45.671837,22.516653,0,1,0.1
126,1126,2.28,314.24,0.4207,10.5018,45.860677,26.191516,0,1,0.1
127,1127,0.356,116.51,0.3524,11.2817,45.751299,26.118054,1,0,0.9
128,1128,0.523,293.29,2.312,11.1101,45.788614,26.754179,1,0,0.9
129,1129,0.428,41.58,0.3892,11.5094,46.747334,27.164037,1,0,0.9
130,1130,0.623,102.32,2.4065,11.8857,47.980568,23.474794,1,0,0.9
131,1131,0.312,510.41,0.6985,8.9862,47.970834,26.135005,1,0,0.9
132,1132,1.277,362.94,0.3987,10.2203,46.58032,26.45119,0,1,0.1
133,1133,0.701,496.01,0.7313,8.8004,46.917082,22.467677,1,0,0.9
134,1134,0.292,676.51,0.6924,7.9162,47.579912,27.433938,1,0,0.9
135,1135,0.402,556.86,0.2386,8.6011,47.7988,20.754732,1,0,0.9
136,1136,1.02,526.59,0.233,8.4225,45.611582,27.954153,0,1,0.1
137,1137,1.472,408.2,1.8346,9.8819,46.585625,26.160726,0,1,0.1
138,1138,3.313,247.2,0.0637,10.8419,47.498511,20.746167,0,1,0.1
139,1139,5.0,160.52,0.5786,11.3337,45.909606,25.249837,0,1,0.1
140,1140,1.094,299.0,2.4424,10.9745,46.319427,20.273435,0,1,0.1
141,1141,0.41,412.86,0.3054,10.2475,47.956863,26.161496,1,0,0.9
142,1142,0.184,448.56,1.3453,9.1211,47.95514,26.393783,1,0,0.9
143,1143,0.987,756.03,0.2973,7.6503,47.71832,24.819282,1,0,0.9
144,1144,0.463,388.01,2.5002,9.3601,47.395345,26.854883,1,0,0.9
145,1145,0.612,615.67,0.1201,8.3177,45.807392,20.783066,1,0,0.9
146,1146,0.533,131.54,0.4238,10.9109,45.96255,22.207391,1,0,0.9
147,1147,0.742,515.14,0.5755,9.7192,46.641849,23.31342,1,0,0.9
148,1148,1.727,491.66,1.0944,9.2319,46.682332,20.339664,0,1,0.1
149,1149,0.914,957.73,0.6861,6.1446,46.516508,23.585729,1,0,0.9
150,1150,0.733,363.16,1.2282,10.4178,46.910011,22.121708,1,0,0.9
151,1151,0.397,352.47,0.1225,8.7999,46.224969,23.14188,1,0,0.9
152,1152,0.254,679.5,1.2764,6.9159,47.247522,23.400821,1,0,0.9
153,1153,0.583,171.04,1.967,11.3717,46.00065,27.035294,1,0,0.9
154,1154,0.788,506.41,1.1475,8.9918,45.992031,22.162728,1,0,0.9
155,1155,2.822,163.9,0.3082,11.1418,45.381678,27.149945,0,1,0.1
156,1156,0.897,1221.05,0.1822,5.0,45.566137,23.407768,1,0,0.9
157,1157,1.629,320.13,0.2538,10.0676,47.551563,22.622462,0,1,0.1
158,1158,0.577,155.03,0.1023,12.0716,46.338847,24.020096,1,0,0.9
159,1159,0.357,297.43,0.8753,10.6275,45.683603,23.341946,1,0,0.9
160,1160,0.417,508.44,0.6382,9.0342,47.278023,22.058979,1,0,0.9
161,1161,0.493,603.46,0.6391,8.1597,46.661943,24.021435,1,0,0.9
162,1162,3.633,927.22,0.7747,6.2394,45.063468,21.214414,0,1,0.1
163,1163,0.461,271.64,1.833,9.3056,45.949084,22.81544,1,0,0.9
164,1164,1.472,698.97,0.0547,7.935,45.531004,24.526322,0,1,0.1
165,1165,0.435,102.42,0.4076,11.8082,46.967619,23.307266,1,0,0.9
166,1166,1.572,194.59,0.198,10.0446,45.825093,26.591299,0,1,0.1
167,1167,1.072,134.81,0.9937,10.8604,45.19484,22.053774,0,1,0.1
168,1168,0.734,236.61,1.6992,10.0016,45.164805,27.758173,1,0,0.9
169,1169,0.796,679.28,0.2711,7.4417,46.745182,26.277776,1,0,0.9
170,1170,0.518,276.55,0.5018,10.3674,45.06517,27.740744,1,0,0.9
171,1171,1.119,316.12,0.0385,9.0611,47.546376,26.705092,0,1,0.1
172,1172,0.595,517.42,0.5077,9.2026,45.466191,21.136831,1,0,0.9
173,1173,0.347,587.36,0.2959,8.8528,46.819699,24.211681,1,0,0.9
174,1174,0.335,323.1,0.7759,9.9359,46.334064,21.359828,1,0,0.9
175,1175,0.924,193.51,0.5358,9.5986,46.328555,26.545819,1,0,0.9
176,1176,2.473,1101.63,1.2909,5.0,45.215391,24.673297,0,1,0.1
177,1177,0.916,324.64,0.4427,10.6686,47.408257,22.107595,1,0,0.9
178,1178,0.753,348.21,0.5096,8.5218,47.679157,27.436792,1,0,0.9
179,1179,1.0,379.79,1.4968,9.5475,45.03305,20.921488,0,1,0.1
180,1180,2.043,627.32,0.4629,7.6461,45.535813,24.510899,0,1,0.1
181,1181,0.955,125.48,0.791,11.6494,47.711713,25.768324,1,0,0.9
182,1182,0.614,1362.05,0.2026,5.0,46.648481,20.470788,1,0,0.9
183,1183,1.776,341.42,1.1371,10.1535,45.450119,24.782848,0,1,0.1
184,1184,1.105,640.87,0.8266,8.4375,45.608371,26.52721,0,1,0.1
185,1185,2.399,156.56,0.8587,11.9788,46.979959,20.540219,0,1,0.1
186,1186,0.931,483.55,0.9029,8.9972,47.17445,24.097944,1,0,0.9
187,1187,0.347,1236.7,0.7534,5.0,46.79828,22.068457,1,0,0.9
188,1188,0.314,1133.15,0.0649,5.0,47.859445,25.303396,1,0,0.9
189,1189,2.6,630.23,0.2937,8.8138,46.482191,20.949419,0,1,0.1
190,1190,2.736,224.54,1.6762,10.2725,45.900816,27.496411,0,1,0.1
191,1191,0.722,897.27,1.4017,6.336,46.431699,27.157829,1,0,0.9
192,1192,0.626,101.71,1.3757,11.3786,46.078999,21.487795,1,0,0.9
193,1193,2.277,218.26,2.3473,9.909,45.673248,22.586127,0,1,0.1
194,1194,0.377,409.76,0.6709,9.6559,45.13789,24.70108,1,0,0.9
195,1195,0.438,110.5,0.6218,11.8208,46.056637,25.744499,1,0,0.9
196,1196,1.284,296.95,0.5548,10.3648,47.134228,23.541248,0,1,0.1
197,1197,0.621,707.88,0.0538,6.9583,45.055313,21.250331,1,0,0.9
198,1198,0.816,255.32,0.5888,10.4062,46.317536,20.833212,1,0,0.9
199,1199,0.73,728.9,1.0624,7.9976,46.932028,27.998123,1,0,0.9
200,1200,1.037,1500.0,0.264,5.0,46.831212,23.642817,0,1,0.1
201,1201,2.193,557.78,1.7883,8.1159,47.329945,26.980254,0,1,0.1
202,1202,0.872,721.0,0.8048,8.1123,47.431559,23.859008,1,0,0.9
203,1203,1.285,916.16,0.9577,6.6381,47.135117,27.378861,0,1,0.1
204,1204,0.195,317.38,0.7517,10.3017,45.308393,20.702075,1,0,0.9
205,1205,0.791,710.32,1.3645,8.6678,46.425067,20.912154,1,0,0.9
206,1206,0.454,311.8,0.4955,10.3635,46.810218,27.437058,1,0,0.9
207,1207,0.349,532.53,0.6251,9.1338,45.736698,27.579944,1,0,0.9
208,1208,0.443,778.38,0.2196,8.6851,45.127655,22.51774,1,0,0.9
209,1209,0.648,232.68,0.5785,10.497,45.670771,22.841319,1,0,0.9
210,1210,1.554,46.31,0.2175,11.3232,46.364683,23.619602,0,1,0.1
211,1211,0.324,215.9,1.4446,10.9185,46.241791,23.329293,1,0,0.9
212,1212,0.836,850.5,0.6818,7.1165,45.530001,21.520362,1,0,0.9
213,1213,0.583,195.2,0.6713,10.5655,47.473247,27.187003,1,0,0.9
214,1214,0.651,821.4,1.281,6.5554,47.77706,22.026461,1,0,0.9
215,1215,1.652,216.74,0.1991,11.8545,45.604045,25.642179,0,1,0.1
216,1216,1.193,371.33,0.2076,9.9354,47.788719,20.537245,0,1,0.1
217,1217,2.088,429.33,2.4673,9.0579,45.053583,20.310011,0,1,0.1
218,1218,0.735,194.46,0.7349,11.2912,47.774887,25.229844,1,0,0.9
219,1219,0.503,374.22,0.6781,9.7001,47.855786,22.712127,1,0,0.9
220,1220,0.7,116.79,0.0133,11.1728,45.036156,25.243675,1,0,0.9
221,1221,0.97,338.01,0.3972,10.2531,47.289058,20.75217,1,0,0.9
222,1222,0.926,405.63,1.8475,8.9203,47.910605,27.598811,1,0,0.9
223,1223,0.383,48.98,1.3376,11.8824,47.717707,25.988116,1,0,0.9
224,1224,0.872,214.47,0.4085,11.6697,47.91213,27.010138,1,0,0.9
225,1225,0.961,521.96,0.8441,9.1013,46.650971,21.091764,1,0,0.9
226,1226,4.769,176.88,0.3729,10.7506,45.234468,22.561288,0,1,0.1
227,1227,3.046,578.99,0.4831,8.2725,47.549368,22.946753,0,1,0.1
228,1228,0.451,615.78,0.3478,8.1001,46.841485,24.297381,1,0,0.9
229,1229,0.67,520.48,0.1973,8.7501,46.84421,22.374948,1,0,0.9
230,1230,0.294,705.0,0.6313,7.5811,46.251761,20.485046,1,0,0.9
231,1231,0.541,110.0,0.5387,11.7982,46.715526,22.951027,1,0,0.9
232,1232,1.021,800.2,2.4599,6.3322,45.460739,22.036395,0,1,0.1
233,1233,1.904,196.96,0.0931,11.2492,47.21931,23.08737,0,1,0.1
234,1234,0.491,463.15,0.4785,9.0313,45.225052,21.575676,1,0,0.9
235,1235,0.518,1207.19,1.1548,5.0,47.189342,22.095171,1,0,0.9
236,1236,0.182,332.86,0.5822,9.4394,47.546935,25.015619,1,0,0.9
237,1237,0.731,436.71,2.1218,10.044,46.417406,23.105231,1,0,0.9
238,1238,0.389,197.93,0.389,11.4352,46.529491,22.763067,1,0,0.9
239,1239,0.565,1199.96,0.1322,5.2801,45.936643,24.271245,1,0,0.9
240,1240,0.443,214.84,1.7215,9.9536,47.908376,26.174884,1,0,0.9
241,1241,0.766,650.23,0.0566,8.5132,47.199373,23.030944,1,0,0.9
242,1242,0.239,915.16,0.4465,6.7115,46.106966,24.700156,1,0,0.9
243,1243,0.293,689.74,0.3336,7.059,45.524422,27.729621,1,0,0.9
244,1244,3.635,541.6,0.7367,8.7382,45.658739,24.175841,0,1,0.1
245,1245,0.332,458.42,1.0394,9.4317,46.391767,27.278381,1,0,0.9
246,1246,0.38,155.21,0.5127,11.3468,47.827705,26.349381,1,0,0.9
247,1247,2.962,1167.64,1.5077,5.0828,47.202439,20.469749,0,1,0.1
248,1248,5.0,512.89,0.0378,9.0683,45.645731,23.432791,0,1,0.1
249,1249,0.361,436.89,0.3131,10.1155,47.578683,25.586547,1,0,0.9
250,1250,0.633,184.56,0.6986,11.5057,46.134602,27.893695,1,0,0.9
251,1251,1.04,451.35,0.381,7.8583,47.555167,23.66701,0,1,0.1
252,1252,2.746,418.44,0.1244,9.3307,45.725099,20.742284,0,1,0.1
253,1253,0.41,1207.17,0.1832,5.0,46.855982,24.496073,1,0,0.9
254,1254,0.69,436.71,0.4045,8.5037,47.780011,21.01251,1,0,0.9
255,1255,1.411,446.48,0.3367,9.3682,45.773682,26.012156,0,1,0.1
256,1256,1.11,186.4,1.0465,11.506,47.07878,24.061416,0,1,0.1
257,1257,0.629,248.71,0.9477,9.9645,47.961938,25.787451,1,0,0.9
258,1258,0.746,601.93,0.8963,8.5566,45.451795,26.954895,1,0,0.9
259,1259,0.313,91.46,0.7779,10.9933,45.265207,25.031584,1,0,0.9
260,1260,0.693,797.52,1.1179,6.8789,47.022586,24.899515,1,0,0.9
261,1261,0.679,810.92,2.3665,7.8732,46.019208,26.036562,1,0,0.9
262,1262,0.963,229.13,0.2793,10.3539,45.213733,26.73964,1,0,0.9
263,1263,0.555,542.91,1.7235,8.9737,46.425917,26.95243,1,0,0.9
264,1264,1.139,933.53,0.0121,5.4632,47.261312,20.291442,0,1,0.1
265,1265,1.663,395.56,2.4307,10.5578,45.855367,24.449522,0,1,0.1
266,1266,0.913,346.02,0.0845,10.2252,46.005141,21.730154,1,0,0.9
267,1267,1.047,376.52,0.0955,9.6496,47.537098,26.882767,0,1,0.1
268,1268,0.85,512.13,0.4559,9.215,46.560216,25.187181,1,0,0.9
269,1269,0.819,273.49,0.1333,9.6542,47.528196,23.36178,1,0,0.9
270,1270,0.494,325.44,0.0099,10.6386,46.339168,21.504834,1,0,0.9
271,1271,1.022,518.84,0.0001,8.725,47.858925,22.712189,0,1,0.1
272,1272,0.765,306.54,0.2674,10.0587,46.952384,25.630222,1,0,0.9
273,1273,3.544,173.36,1.3979,10.714,45.347697,21.634876,0,1,0.1
274,1274,2.463,83.84,0.1029,11.2066,47.655279,20.748664,0,1,0.1
275,1275,1.073,442.5,0.7347,9.6923,46.467796,27.10423,0,1,0.1
276,1276,0.48,898.07,1.3805,6.7395,45.424917,26.113683,1,0,0.9
277,1277,0.376,560.66,0.1741,8.9619,45.45807,21.598359,1,0,0.9
278,1278,1.885,178.9,0.273,10.9222,47.062602,22.338492,0,1,0.1
279,1279,0.984,247.33,4.0507,10.7726,45.142118,27.776561,1,0,0.9
