FID,CellID,RWQ,ALT,FFP,BIO1,Y_WGS84_DD,X_WGS84_DD,SYN_B_PREZ,SYN_B_TRUEABS,SYN_B_TRUE_PROB
157,1157,0.522,386.89,0.7131,9.1127,45.820472,25.770161,0,1,0.1
158,1158,1.236,1500.0,0.1671,5.0,45.046742,21.773577,1,0,0.9
159,1159,0.599,310.63,1.1984,9.0812,45.619889,21.547083,0,1,0.1
160,1160,1.626,198.67,1.907,10.4248,45.937163,22.519028,0,1,0.1
161,1161,0.997,266.4,0.759,10.2017,45.534621,27.218959,0,1,0.1
162,1162,0.502,829.0,0.6384,7.8978,45.060433,26.371733,1,0,0.9
163,1163,0.447,461.74,0.171,9.6138,45.472343,27.575138,1,0,0.9
164,1164,0.258,416.93,0.0225,9.2198,46.998299,25.215699,1,0,0.9
165,1165,1.004,314.02,1.0769,10.7681,46.888756,25.303372,0,1,0.1
166,1166,0.639,402.16,2.0615,9.2168,47.807051,23.840248,1,0,0.9
167,1167,0.156,298.42,2.407,10.714,47.394505,27.241491,0,1,0.1
168,1168,0.563,664.21,0.0432,7.3353,46.703268,24.087017,1,0,0.9
169,1169,0.436,361.86,0.8894,10.3655,45.412669,22.840481,0,1,0.1
170,1170,2.467,270.14,0.5032,10.1761,46.692215,25.123,0,1,0.1
171,1171,0.249,786.13,0.0155,6.769,45.184785,24.369116,1,0,0.9
172,1172,0.299,203.78,0.4057,10.6688,46.292655,20.992159,0,1,0.1
173,1173,1.781,466.13,0.2254,9.3419,46.170776,23.141803,1,0,0.9
174,1174,2.116,78.66,0.5956,11.2807,46.283441,22.506603,0,1,0.1
175,1175,0.486,141.36,0.8964,11.4288,45.839478,26.77467,0,1,0.1
176,1176,0.526,334.66,0.5895,9.7006,47.057491,23.03074,0,1,0.1
177,1177,1.26,294.42,0.7552,10.5437,47.522833,26.572442,0,1,0.1
178,1178,0.161,294.09,0.7262,10.4566,47.305551,23.539117,0,1,0.1
179,1179,0.222,705.85,0.0009,7.7344,46.883256,26.028005,1,0,0.9
180,1180,0.673,731.97,2.7132,7.3875,46.615034,21.082255,1,0,0.9
181,1181,2.423,527.42,1.2471,8.9112,45.093253,27.397202,1,0,0.9
182,1182,0.603,195.13,0.0232,11.1044,47.168802,23.844479,0,1,0.1
183,1183,0.879,400.0,0.2012,10.6309,46.634949,22.078386,0,1,0.1
184,1184,1.811,1282.67,0.2121,5.0,45.812223,21.931917,1,0,0.9
185,1185,3.578,1500.0,0.0939,5.0,45.983526,22.120618,1,0,0.9
186,1186,0.547,790.9,0.0631,8.7989,47.80682,22.933793,1,0,0.9
187,1187,0.809,201.34,0.5534,11.05,46.873087,25.740156,0,1,0.1
188,1188,2.931,402.44,0.0928,9.8277,46.427737,27.596824,1,0,0.9
189,1189,0.282,504.85,1.1244,9.3229,46.862765,25.352299,1,0,0.9
190,1190,1.681,455.91,0.5569,8.76,46.241227,24.37733,1,0,0.9
191,1191,0.401,842.72,0.2022,6.7217,46.410547,23.588782,1,0,0.9
192,1192,0.88,686.45,1.0441,7.6282,45.870928,26.625556,1,0,0.9
193,1193,0.691,192.71,0.9035,11.1676,46.31956,26.797258,0,1,0.1
194,1194,0.419,275.06,2.2887,10.2626,47.056777,22.344301,0,1,0.1
195,1195,0.411,788.84,0.1384,7.3361,45.119826,27.627362,1,0,0.9
196,1196,0.994,1005.83,0.1172,6.5087,47.385082,23.160923,1,0,0.9
197,1197,1.644,509.01,0.1285,9.3775,45.848939,26.400625,1,0,0.9
198,1198,0.748,1082.24,0.3542,5.4257,47.047679,27.734559,1,0,0.9
199,1199,0.86,471.55,1.4728,8.8357,46.928176,25.629265,1,0,0.9
200,1200,1.221,220.62,2.5456,11.2439,46.957884,21.292406,0,1,0.1
201,1201,0.415,647.62,0.7241,8.5012,46.824387,24.689096,1,0,0.9
202,1202,1.374,1500.0,1.3355,5.0,47.877306,20.950217,1,0,0.9
203,1203,1.453,158.57,3.3327,10.892,46.525032,26.313136,0,1,0.1
204,1204,5.0,1057.47,0.0253,5.7379,47.196957,22.250521,1,0,0.9
205,1205,0.629,624.57,1.9265,8.642,47.116348,25.561719,1,0,0.9
206,1206,0.594,262.92,0.3021,10.8776,45.708803,27.280717,0,1,0.1
207,1207,1.403,80.61,0.0088,11.6583,45.849918,21.448079,0,1,0.1
208,1208,1.453,51.64,0.3985,11.9828,46.272051,23.142863,0,1,0.1
209,1209,0.563,293.65,2.287,10.2702,45.833094,25.17695,0,1,0.1
210,1210,0.617,560.82,0.4162,8.2981,46.100229,23.357269,1,0,0.9
211,1211,1.196,753.31,0.5672,7.3495,46.172882,21.398552,1,0,0.9
212,1212,0.459,863.41,0.2186,6.829,46.811594,20.232573,1,0,0.9
213,1213,0.614,528.95,0.0029,8.809,45.65967,23.252785,1,0,0.9
214,1214,0.872,476.39,1.9116,8.1989,47.412876,25.193672,1,0,0.9
215,1215,1.644,342.65,0.6862,9.7454,46.312609,24.591874,0,1,0.1
216,1216,0.536,569.68,0.0554,8.61,47.118732,21.24993,1,0,0.9
217,1217,0.225,265.95,0.7972,10.2636,45.244327,23.605548,0,1,0.1
218,1218,0.214,165.75,0.2179,10.8821,46.409896,22.955768,0,1,0.1
219,1219,0.339,456.89,0.046,9.5026,45.084659,22.193619,1,0,0.9
